# ----------------------------------------
# 网页和屏幕: 网页标题和屏幕类
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
网页标题和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
200 Indicator — Zinc Alloy | Canton Hyland,7,6,1.1666666666666667,2.1666666666666665,20,0,0
317 Cold Room Push Bar Exit Device | Canton Hyland,7,7,1,1.5714285714285714,21,0,0
320 Two Point Locking Exit Device | Canton Hyland,7,7,1,1.1428571428571428,23,0,0
400 Indicator — Zinc Alloy | Canton Hyland,7,7,1,5.285714285714286,20,0,0
500 Indicator — Stainless Steel | Canton Hyland,7,5,1.4,4.4,16,0,0
559 Night Latch And Rim Lock — Iron | Canton Hyland,7,6,1.1666666666666667,3.5,22,0,0
571 SSET Light Duty Cylindrical Lock | Canton Hyland,7,7,1,0,25,0,0
575 CPET Tubular Lock — Stainless Steel | Canton Hyland,7,5,1.4,26.6,15,0,0
5807 F Heavy Duty Cylindrical Lock | Canton Hyland,7,7,1,0,26,0,0
5871 SSET Heavy Duty Cylindrical Lock | Canton Hyland,7,9,0.7777777777777778,0.1111111111111111,29,0,0
592 ABET Tubular Lock — Knob Locks | Canton Hyland,7,6,1.1666666666666667,3.1666666666666665,22,0,0
592 SSET Tubular Lock — Stainless Steel | Canton Hyland,7,7,1,1.7142857142857142,24,0,0
600 Concealed Sliding Door Handle | Canton Hyland,7,7,1,0.42857142857142855,25,0,0
607 ABET Tubular Lock — Knob Locks | Canton Hyland,7,7,1,1.8571428571428572,22,0,0
607 PBET Tubular Lock — Knob Locks | Canton Hyland,7,7,1,2.142857142857143,20,0,0
70900 BK Grip Handle Set — Aluminum | Canton Hyland,7,7,1,8.142857142857142,23,0,0
AR4-101 Mortise Lock Body | HYDE Argentina,7,1,7,38,11,0,0
AR4-1121 Hook-Bolt Mortise Lock — Lock Cases | Canton Hyland,7,6,1.1666666666666667,9,13,0,0
B024 Brass and Steel Hinges | Canton Hyland,7,5,1.4,51.4,18,0,0
BH33 Bathroom Accessories — Stainless Steel | Canton Hyland,7,7,1,7.142857142857143,24,0,0
BL028 Brass and Steel Hinges | Canton Hyland,7,7,1,3,24,0,0
DC02 Door Coordinator — Zinc-Plated Steel | Canton Hyland,7,7,1,0.2857142857142857,21,0,0
DS01 Door Stopper — Stainless Steel | Canton Hyland,7,6,1.1666666666666667,1.8333333333333333,15,0,0
DSL02 Panic Exit Device — Stainless Steel 304 | Canton Hyland,7,6,1.1666666666666667,2.6666666666666665,20,0,0
DV05 BL Door viewer — Brass | Canton Hyland,7,7,1,0.42857142857142855,25,0,0
Deadbolts — Manufacturer & Supplier | Canton Hyland,7,2,3.5,22.5,7,0,0
Door Coordinator for Double Fire Doors — Sizing Guide,7,5,1.4,4,18,0,0
Door Hardware & Export Newsletter | Canton Hyland,7,6,1.1666666666666667,33.5,23,0,0
"Door Hardware Finish Codes: PB, AB, SN, SS | Canton Hyland",7,5,1.4,6.8,15,0,0
HY006ET Lock Case — Lock Cases | Canton Hyland,7,7,1,39.857142857142854,23,0,0
Lc07 85×45mm Lock Case — Lock Cases | Canton Hyland,7,5,1.4,5,17,0,0
Lc14 85×50mm Lock Case — Lock Cases | Canton Hyland,7,7,1,2.857142857142857,23,0,0
SSH011 Brass and Steel Hinges | Canton Hyland,7,7,1,16,24,0,0
Stainless Steel Door Hinge Stainless Steel Door Hinge,7,6,1.1666666666666667,0.8333333333333334,21,0,0
19-130MM Glass Door Handle — Stainless Steel | Canton Hyland,6,6,1,24.833333333333332,17,0,0
302-S S-Panic Exit Device — Stainless Steel | Canton Hyland,6,6,1,1.8333333333333333,16,0,0
315 Pry Latch — Iron | Canton Hyland,6,6,1,0.3333333333333333,18,0,0
316-D Panic Exit Device — Panic Exit Devices | Canton Hyland,6,5,1.2,4.4,16,0,0
45BN Lock Cylinder — Solid Brass | Canton Hyland,6,6,1,1.3333333333333333,18,0,0
564 Night Latch And Rim Lock — Zinc Alloy | Canton Hyland,6,5,1.2,6.2,16,0,0
5682 Night Latch And Rim Lock | Canton Hyland,6,6,1,2.8333333333333335,19,0,0
5790 PBBSET Heavy Duty Cylindrical Lock | Canton Hyland,6,4,1.5,26.5,15,0,0
5807 SSEL Commercial Lock — Knob Locks | Canton Hyland,6,6,1,0.8333333333333334,17,0,0
5833 Night Latch And Rim Lock — Iron And Brass | Canton Hyland,6,6,1,1.6666666666666667,20,0,0
5835 Night Latch And Rim Lock | Canton Hyland,6,6,1,10.166666666666666,19,0,0
5836 Night Latch And Rim Lock | Canton Hyland,6,6,1,4.333333333333333,18,0,0
5874 ACET Heavy Duty Cylindrical Lock | Canton Hyland,6,5,1.2,3.2,19,0,0
598 Tubular Lock — Stainless Steel | Canton Hyland,6,6,1,2.8333333333333335,20,0,0
70900 ET Grip Handle Set — Aluminum | Canton Hyland,6,6,1,1.5,19,0,0
881 SS Sliding Hook Lock — Zinc Alloy | Canton Hyland,6,5,1.2,2.6,17,0,0
9001 Stainless Steel Handle | Canton Hyland,6,5,1.2,2,15,0,0
9004S Stainless Steel Handle | Canton Hyland,6,5,1.2,27.2,15,0,0
9007S Stainless Steel Handle | Canton Hyland,6,5,1.2,3.6,17,0,0
9014 Stainless Steel Handle | Canton Hyland,6,5,1.2,5.4,17,0,0
BH01 Bathroom Accessories — Stainless Steel | Canton Hyland,6,6,1,2.1666666666666665,21,0,0
BH05 Bathroom Accessories — Stainless Steel | Canton Hyland,6,6,1,35.166666666666664,19,0,0
BH10 Bathroom Accessories — Stainless Steel | Canton Hyland,6,6,1,25.833333333333332,18,0,0
BH17 Bathroom Accessories — Stainless Steel | Canton Hyland,6,5,1.2,87.8,16,0,0
BH25 Bathroom Accessories — Stainless Steel | Canton Hyland,6,6,1,28.666666666666668,20,0,0
BH28 Bathroom Accessories — Stainless Steel | Canton Hyland,6,6,1,1.6666666666666667,18,0,0
BH52 Bathroom Accessories — Stainless Steel | Canton Hyland,6,6,1,2.5,19,0,0
BL027 Brass and Steel Hinges — Iron | Canton Hyland,6,6,1,0.3333333333333333,18,0,0
BL031 Brass and Steel Hinges | Canton Hyland,6,6,1,6.5,21,0,0
Black Tubular Lever Lock Set Black Tubular Lever Lock Set,6,6,1,4.166666666666667,16,0,0
CH01 Brass and Steel Hinges | Canton Hyland,6,6,1,18.333333333333332,17,0,0
D101 AC Deadbolts | Canton Hyland,6,6,1,0.5,20,0,0
D101 SS Deadbolts | Canton Hyland,6,6,1,3.1666666666666665,17,0,0
DC01 Panic Exit Device — Panic Exit Devices | Canton Hyland,6,5,1.2,4,17,0,0
DV09 Door viewer — Brass | Canton Hyland,6,6,1,1.3333333333333333,19,0,0
EN 1125 vs ANSI A156.3: Which Exit Device Standard | Canton Hyland,6,4,1.5,9,16,0,0
Glass Door Accessories | Canton Hyland,6,2,3,20.5,6,0,0
Glass Door Patch Fitting Set Glass Door Patch Fitting Set,6,5,1.2,26,19,0,0
JU-051 Door Closer — Aluminum | Canton Hyland,6,6,1,0.5,20,0,0
JU-072 Door Closer — Aluminum | Canton Hyland,6,6,1,1.3333333333333333,20,0,0
JU-088A Door Closer — Aluminum | Canton Hyland,6,6,1,4.166666666666667,17,0,0
L005 Latch — Hardware Accessories | Canton Hyland,6,6,1,2.8333333333333335,20,0,0
LC04 85*70 Lock Case — Lock Cases | Canton Hyland,6,6,1,2,19,0,0
LH853 BNBK Lever Handle — Zinc Alloy | Canton Hyland,6,6,1,1.5,19,0,0
Mortise Lock Backset and Centre Distance | Canton Hyland,6,6,1,5.166666666666667,18,0,0
NC013 Stainless Steel Handle | Canton Hyland,6,6,1,2.8333333333333335,15,0,0
S02 CP Sliding Hook Lock — Zinc Alloy | Canton Hyland,6,5,1.2,6.4,15,0,0
SSH013 Brass and Steel Hinges | Canton Hyland,6,5,1.2,6,16,0,0
SSH023 Brass and Steel Hinges | Canton Hyland,6,6,1,1.5,19,0,0
SSH031 Brass and Steel Hinges | Canton Hyland,6,6,1,2.8333333333333335,20,0,0
Stainless Steel Wall Hook Stainless Steel Wall Hook,6,4,1.5,3.75,15,0,0
301-S S-Panic Exit Device — Stainless Steel | Canton Hyland,5,4,1.25,29,13,0,0
309-D Double Door Panic Exit Device | Canton Hyland,5,5,1,3,18,0,0
309-S S-Panic Exit Device — Panic Exit Devices | Canton Hyland,5,5,1,0,16,0,0
330 Panic Exit Device — Iron+Iron Tube | Canton Hyland,5,4,1.25,4.25,13,0,0
3431 SSET Lever Handle — Zinc Alloy | Canton Hyland,5,4,1.25,1,16,0,0
556 Night Latch And Rim Lock — Iron | Canton Hyland,5,5,1,32.8,15,0,0
558 Night Latch And Rim Lock — Iron | Canton Hyland,5,5,1,5.8,15,0,0
56 SN Lock Cylinder — Solid Brass | Canton Hyland,5,5,1,2.4,17,0,0
5689 Night Latch And Rim Lock | Canton Hyland,5,5,1,2,15,0,0
5733 SSET Heavy Duty Cylindrical Lock | Canton Hyland,5,5,1,0.2,19,0,0
578 ACET Light Duty Cylindrical Lock | Canton Hyland,5,4,1.25,1.25,15,0,0
5807 SSCL Commercial Lock — Knob Locks | Canton Hyland,5,5,1,2.4,13,0,0
5807 SSCR Commercial Lock — Knob Locks | Canton Hyland,5,5,1,1,16,0,0
5831 SSET Heavy Duty Cylindrical Lock | Canton Hyland,5,5,1,0.4,19,0,0
5833 SSET Heavy Duty Cylindrical Lock | Canton Hyland,5,5,1,0.2,19,0,0
587 SSBK Light Duty Cylindrical Lock | Canton Hyland,5,6,0.8333333333333334,1.3333333333333333,17,0,0
587 WLET Light Duty Cylindrical Lock | Canton Hyland,5,5,1,0,20,0,0
5870 SSCC Commercial Lock — Knob Locks | Canton Hyland,5,5,1,0.6,17,0,0
592 PBBK Tubular Lock — Knob Locks | Canton Hyland,5,4,1.25,80.25,14,0,0
592 PBET Tubular Lock — Knob Locks | Canton Hyland,5,5,1,12.8,16,0,0
592 PBPS Tubular Lock — Knob Locks | Canton Hyland,5,5,1,103.8,12,0,0
607 SPET Tubular Lock — Stainless Steel | Canton Hyland,5,6,0.8333333333333334,51,17,0,0
607 SSET Tubular Lock — Knob Locks | Canton Hyland,5,5,1,12.4,17,0,0
607 WBK Tubular Lock — Knob Locks | Canton Hyland,5,5,1,4.4,16,0,0
6082 SN Tubular Lock — Stainless Steel | Canton Hyland,5,5,1,9.8,14,0,0
6094 PBBK Heavy Duty Cylindrical Lock | Canton Hyland,5,5,1,0,19,0,0
6491 SSET Lever Handle — Zinc Alloy | Canton Hyland,5,5,1,1,15,0,0
65SN Lock Cylinder — Solid Brass | Canton Hyland,5,5,1,2.4,15,0,0
70720 SM Grip Handle Set — Zinc Alloy | Canton Hyland,5,5,1,0.4,20,0,0
70780 AB Grip Handle Set — Zinc Alloy | Canton Hyland,5,5,1,21.8,16,0,0
70SN Lock Cylinder — Solid Brass | Canton Hyland,5,5,1,10.4,15,0,0
805PBET Lever Handle — Zinc Alloy | Canton Hyland,5,5,1,1.8,16,0,0
853 SNBK Lever Handle — Zinc Alloy | Canton Hyland,5,5,1,1.2,16,0,0
9005E Stainless Steel Handle | Canton Hyland,5,4,1.25,53.5,11,0,0
9006S Stainless Steel Handle | Canton Hyland,5,5,1,2.2,14,0,0
9007 Stainless Steel Handle | Canton Hyland,5,5,1,2.6,13,0,0
9008S Stainless Steel Handle | Canton Hyland,5,5,1,4.6,14,0,0
9012E Stainless Steel Handle | Canton Hyland,5,5,1,4.4,13,0,0
9015 Stainless Steel Handle | Canton Hyland,5,5,1,1.4,15,0,0
9020S Stainless Steel Handle | Canton Hyland,5,5,1,2.4,12,0,0
9082E Stainless Steel Handle | Canton Hyland,5,5,1,1.4,17,0,0
AI8530 Lock Case — Lock Cases | Canton Hyland,5,4,1.25,1.5,13,0,0
AR4-140 Slim Mortise Lock Body — Lock Cases | Canton Hyland,5,5,1,2.4,14,0,0
BH04 Bathroom Accessories — Stainless Steel | Canton Hyland,5,5,1,4.2,17,0,0
BH18 Bathroom Accessories — Stainless Steel | Canton Hyland,5,5,1,0.4,16,0,0
BH26 Bathroom Accessories — Stainless Steel | Canton Hyland,5,5,1,2.4,16,0,0
BH32 Bathroom Accessories — Stainless Steel | Canton Hyland,5,5,1,3.6,16,0,0
BH34 Bathroom Accessories — Stainless Steel | Canton Hyland,5,5,1,6.8,14,0,0
BH36 Bathroom Accessories — Stainless Steel | Canton Hyland,5,5,1,31.2,14,0,0
BH37 Bathroom Accessories — Stainless Steel | Canton Hyland,5,5,1,1.2,18,0,0
BH39 Bathroom Accessories — Stainless Steel | Canton Hyland,5,5,1,4.8,13,0,0
Commercial Fire-Egress Hardware Application | Canton Hyland,5,3,1.6666666666666667,9.333333333333334,11,0,0
D102 SS Deadbolts | Canton Hyland,5,5,1,27.4,16,0,0
DDH001 Panic Exit Device — Iron | Canton Hyland,5,4,1.25,2.25,13,0,0
DS02 Door Stopper — Stainless Steel | Canton Hyland,5,5,1,1.6,15,0,0
DS05 Door Stopper — Stainless Steel | Canton Hyland,5,5,1,2.6,14,0,0
DV10 Door viewer — Brass/Zinc Alloy | Canton Hyland,5,5,1,0.4,19,0,0
Dust Proof 02 Door viewer — Brass | Canton Hyland,5,5,1,0.4,16,0,0
EH02 Lever Handle — Lever Handles | Canton Hyland,5,5,1,4,15,0,0
EPT01 Door Power Transfer Devices | Canton Hyland,5,5,1,0.4,17,0,0
"Euro Cylinder Size: Length vs Split (35/35, 30/40) | Canton Hyland",5,5,1,1.4,13,0,0
F002 Security Door Guard — Zinc Alloy | Canton Hyland,5,4,1.25,47.5,13,0,0
F006 Security Door Guard — Zinc Alloy | Canton Hyland,5,5,1,3,15,0,0
F102 Night Latch And Rim Lock — Zinc Alloy | Canton Hyland,5,5,1,4.8,17,0,0
FB016 Door Flush Bolt — Stainless Steel | Canton Hyland,5,5,1,42.2,14,0,0
H101 Night Latch And Rim Lock — Zinc Alloy | Canton Hyland,5,5,1,4.4,15,0,0
H102 Night Latch And Rim Lock — Zinc Alloy | Canton Hyland,5,5,1,1.4,16,0,0
HY007 Lock Case — Lock Cases | Canton Hyland,5,5,1,2.8,14,0,0
HY007-S Lock Case — Lock Cases | Canton Hyland,5,5,1,2.2,17,0,0
How to Fit a Euro Cylinder — Step by Step,5,4,1.25,74.25,19,0,0
IH01 Brass and Steel Hinges — Iron | Canton Hyland,5,5,1,4.4,14,0,0
L004 Latch — Hardware Accessories | Canton Hyland,5,5,1,1.2,14,0,0
L018 Latch — Zinc Alloy | Canton Hyland,5,5,1,0.2,18,0,0
L021 Latch — Hardware Accessories | Canton Hyland,5,5,1,1,15,0,0
LC5845 Lock Case — Lock Cases | Canton Hyland,5,5,1,1.4,16,0,0
LH853 BK Lever Handle — Zinc Alloy | Canton Hyland,5,5,1,1.6,16,0,0
LH853 PS Lever Handle — Zinc Alloy | Canton Hyland,5,5,1,1.6,16,0,0
LH853 SNET Lever Handle — Zinc Alloy | Canton Hyland,5,5,1,1.2,16,0,0
LH855 SNBK Lever Handle — Zinc Alloy | Canton Hyland,5,5,1,2.8,13,0,0
LH855 SNET Lever Handle — Zinc Alloy | Canton Hyland,5,5,1,2.2,14,0,0
Lc02 85×40mm Lock Case — Lock Cases | Canton Hyland,5,6,0.8333333333333334,2.6666666666666665,17,0,0
Lc17 Lock Case — Lock Cases | Canton Hyland,5,5,1,9.8,15,0,0
Lc32 65×72mm Lock Case — Lock Cases | Canton Hyland,5,5,1,1.2,15,0,0
Lc34 50×72mm Lock Case — Lock Cases | Canton Hyland,5,5,1,3,16,0,0
Lc7065PS Lock Case — Lock Cases | Canton Hyland,5,5,1,2.6,15,0,0
NC046 Stainless Steel Handle | Canton Hyland,5,5,1,1.2,14,0,0
NC068 Stainless Steel Handle | Canton Hyland,5,5,1,2.2,16,0,0
NC181 Stainless Steel Handle | Canton Hyland,5,5,1,1.4,16,0,0
NCD Stainless Steel Handle | Canton Hyland,5,5,1,2.2,17,0,0
Reading a Door Hardware Schedule | Canton Hyland,5,3,1.6666666666666667,6,8,0,0
S03 Sliding Hook Lock — Zinc Alloy | Canton Hyland,5,4,1.25,4.5,13,0,0
SS026 Brass and Steel Hinges — Stainless Steel | Canton Hyland,5,5,1,16.4,17,0,0
SSH015 Brass and Steel Hinges | Canton Hyland,5,5,1,3.6,14,0,0
SSH016 Brass and Steel Hinges | Canton Hyland,5,5,1,5.8,16,0,0
SSH019 Brass and Steel Hinges | Canton Hyland,5,6,0.8333333333333334,19,16,0,0
Single oval cylinder Lock Cylinder | Canton Hyland,5,5,1,1.4,16,0,0
100-30MM Glass Door Handle — Stainless Steel | Canton Hyland,4,4,1,10,13,0,0
201 PBET Heavy Duty Cylindrical Lock | Canton Hyland,4,4,1,0,16,0,0
260 Night Latch And Rim Lock — Iron | Canton Hyland,4,4,1,5.5,10,0,0
308-D D-Panic Exit Device — Panic Exit Devices | Canton Hyland,4,4,1,3.5,13,0,0
308-S S-Panic Exit Device — Panic Exit Devices | Canton Hyland,4,4,1,25,13,0,0
3431 SNET Lever Handle — Zinc Alloy | Canton Hyland,4,4,1,4.5,12,0,0
45 BNIK Lock Cylinder — Solid Brass | Canton Hyland,4,4,1,2.5,13,0,0
54 DK Lock Cylinder — Solid Brass | Canton Hyland,4,4,1,2.25,13,0,0
5681 Night Latch And Rim Lock | Canton Hyland,4,4,1,1.25,12,0,0
