# ----------------------------------------
# Google 自然搜索流量: 着陆页 + 查询字符串
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
着陆页 + 查询字符串,Google 搜索自然点击次数,Google 搜索自然展示次数,Google 搜索自然点击率,Google 搜索自然平均排名,活跃用户,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的平均互动时长,事件数,关键事件数,广告收入
/Index.php?m=home&c=Lists&a=index&tid=23&lang=cn,0,12,0,4.916666666666666,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=3&lang=cn&page=3,0,1,0,7,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=30&lang=cn,0,2,0,1,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=75&page=15,0,1,0,97,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=75&page=22,0,1,0,90,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=75&page=26,0,1,0,5,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=75&page=8,0,1,0,9,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=79,0,6,0,57.166666666666664,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=79&page=2,0,1,0,36,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=97&lang=en&page=4,0,1,0,8,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=99,0,7,0,17.142857142857142,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=99&lang=en&page=3,0,1,0,1,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=99&lang=en&page=5,0,2,0,11,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1038&lang=cn,0,2,0,9.5,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1044&lang=cn,0,2,0,13,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1045,0,1,0,5,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1061&lang=en,0,1,0,61,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=140&lang=en,0,2,0,3,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=142,0,2,0,8.5,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1541&lang=en,0,2,0,26,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1542&lang=cn,0,2,0,21,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1544&lang=cn,0,8,0,7.75,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1556&lang=cn,0,1,0,6,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=156,0,3,0,8.666666666666668,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1562,0,1,0,11,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1563&lang=cn,0,1,0,31,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1564&lang=cn,0,1,0,23,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1566&lang=cn,0,1,0,22,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1567,0,1,0,1,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1569,0,4,0,5,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1570&lang=cn,0,3,0,10.333333333333334,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1574&lang=cn,0,2,0,11,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1580&lang=cn,0,2,0,8,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1584&lang=cn,0,6,0,15.833333333333334,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1590&lang=cn,0,1,0,29,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1594&lang=cn,0,1,0,10,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1596&lang=cn,0,2,0,6,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1602,0,17,0,10.235294117647058,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1605,0,71,0,26.140845070422536,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=1607,0,10,0,18.1,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=174,0,5,0,4.4,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=228,0,1,0,1,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=236,0,2,0,6.5,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=262,0,1,0,6,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=335,0,1,0,3,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=343,0,1,0,12,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=347&lang=en,0,1,0,1,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=350&lang=en,0,1,0,2,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=376,0,1,0,7,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=388,0,1,0,5,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=402,0,1,0,6,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=403,0,1,0,11,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=410&lang=en,0,1,0,7,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=429&lang=en,0,1,0,2,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=437,0,1,0,16,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=453,0,18,0,10.555555555555555,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=454,0,3,0,3.3333333333333335,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=494&lang=en,0,1,0,2,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=606&lang=cn,0,3,0,8.333333333333332,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=621&lang=cn,0,4,0,4.75,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=696&lang=cn,0,1,0,5,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=698&lang=cn,0,1,0,14,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=710&lang=cn,0,1,0,25,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=774&lang=cn,0,1,0,3,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=789&lang=cn,0,1,0,1,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=857&lang=cn,0,1,0,9,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=930&lang=cn,0,1,0,30,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=964&lang=cn,0,1,0,2,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=965&lang=cn,0,2,0,1,0,0,0,0,0,0,0
/collections/glass-door-accessories-glass-door-handles/,0,1,0,9,0,0,0,0,0,0,0
/collections/glass-door-accessories-glass-door-patch-fittings/,0,4,0,6,0,0,0,0,0,0,0
/collections/hardware-accessories-door-flush-bolts/,0,3,0,11.666666666666666,0,0,0,0,0,0,0
/collections/hardware-accessories-door-stoppers/,0,7,0,3.4285714285714284,0,0,0,0,0,0,0
/collections/hardware-accessories-door-viewers/,0,4,0,11.75,0,0,0,0,0,0,0
/collections/hardware-accessories-house-numbers/,0,1,0,2,0,0,0,0,0,0,0
/collections/hardware-accessories-indicators/,0,3,0,4.333333333333334,0,0,0,0,0,0,0
/collections/hardware-accessories-latches/,0,1,0,2,0,0,0,0,0,0,0
/collections/hardware-accessories-power-transfer-devices/,0,4,0,3,0,0,0,0,0,0,0
/collections/knob-locks-commercial-locks/,0,6,0,59.833333333333336,0,0,0,0,0,0,0
/collections/knob-locks-heavy-duty-cylindrical-locks/,0,4,0,24.75,0,0,0,0,0,0,0
/collections/knob-locks-light-duty-cylindrical-locks/,0,1,0,7,0,0,0,0,0,0,0
/collections/knob-locks-tubular-locks/,0,1,0,13,0,0,0,0,0,0,0
/collections/panic-exit-devices-alarmed/,0,1,0,3,0,0,0,0,0,0,0
/collections/panic-exit-devices-exterior-trim/,0,1,0,2,0,0,0,0,0,0,0
/collections/panic-exit-devices-multi-point/,0,1,0,7,0,0,0,0,0,0,0
/collections/panic-exit-devices-special-applications/,0,2,0,8,0,0,0,0,0,0,0
/compare/bathroom-accessories/,0,2,0,28.5,0,0,0,0,0,0,0
/compare/glass-door-accessories/,0,1,0,15,0,0,0,0,0,0,0
/compare/grip-handle-sets/,0,1,0,2,0,0,0,0,0,0,0
/compare/hardware-accessories/,0,3,0,5.333333333333333,0,0,0,0,0,0,0
/compare/knob-locks/,0,3,0,7,0,0,0,0,0,0,0
/compare/lever-handles/,0,1,0,9,0,0,0,0,0,0,0
/compare/lock-cases/,0,4,0,5,0,0,0,0,0,0,0
/compare/lock-cylinders/,0,6,0,9.833333333333334,0,0,0,0,0,0,0
/compare/night-latches-rim-locks/,0,70,0,9.742857142857142,0,0,0,0,0,0,0
/compare/panic-exit-devices/,0,4,0,13.25,0,0,0,0,0,0,0
/compare/sliding-hook-locks/,0,2,0,35.5,0,0,0,0,0,0,0
/contact/,0,98,0,48.8469387755102,0,0,0,0,0,0,0
/contact/?product=Grip+Handle+Set&model=70780+AB,0,3,0,11.333333333333334,0,0,0,0,0,0,0
/contact/?product=Night+Latch+And+Rim+Lock&model=G559,0,1,0,4,0,0,0,0,0,0,0
/downloads/,0,4,0,5.75,0,0,0,0,0,0,0
/es/,0,22,0,4.727272727272727,2,0,0,480.5,9,0,0
/es/collections/hardware-accessories-door-viewers/,0,1,0,9,0,0,0,0,0,0,0
/es/collections/hardware-accessories-house-numbers/,0,1,0,10,0,0,0,0,0,0,0
/es/collections/hardware-accessories-power-transfer-devices/,0,2,0,9.5,0,0,0,0,0,0,0
/es/collections/hardware-accessories-security-door-guards/,0,1,0,8,0,0,0,0,0,0,0
/es/collections/knob-locks-commercial-locks/,0,1,0,3,0,0,0,0,0,0,0
/es/collections/knob-locks-heavy-duty-cylindrical-locks/,0,2,0,34.5,0,0,0,0,0,0,0
/es/collections/knob-locks-tubular-locks/,0,1,0,5,0,0,0,0,0,0,0
/es/company/,0,12,0,6,0,0,0,0,0,0,0
/es/compare/deadbolts/,0,1,0,1,0,0,0,0,0,0,0
/es/compare/lock-cases/,0,4,0,9.5,0,0,0,0,0,0,0
/es/compare/panic-exit-devices/,0,2,0,8,0,0,0,0,0,0,0
/es/contact/,0,1,0,8,0,0,0,0,0,0,0
/es/news/mortise-lock-backset-and-centre-distance-guide/,0,9,0,3.888888888888889,0,0,0,0,0,0,0
/es/products/bathroom-accessories/bh14-bathroom-accessories/,0,2,0,4.5,0,0,0,0,0,0,0
/es/products/bathroom-accessories/bh26-bathroom-accessories/,0,1,0,2,0,0,0,0,0,0,0
/es/products/brass-steel-hinges/f100-ss-door-hinge/,0,3,0,3,0,0,0,0,0,0,0
/es/products/brass-steel-hinges/ssh013-brass-and-steel-hinges/,0,1,0,2,0,0,0,0,0,0,0
/es/products/deadbolts/,0,2,0,5,0,0,0,0,0,0,0
/es/products/deadbolts/d102-ss-deadbolts/,0,9,0,5.555555555555555,0,0,0,0,0,0,0
/es/products/door-closers/ju-061-door-closer/,0,1,0,8,0,0,0,0,0,0,0
/es/products/glass-door-accessories/f111-glass-door-patch-fittings/,0,1,0,1,0,0,0,0,0,0,0
/es/products/glass-door-accessories/gl125-ss-glass-door-patch-fittings/,0,3,0,2.333333333333333,0,0,0,0,0,0,0
/es/products/glass-door-accessories/glass-door-patch-fitting-set/,0,4,0,1,0,0,0,0,0,0,0
/es/products/grip-handle-sets/70780-ab-grip-handle-set/,0,1,0,7,0,0,0,0,0,0,0
/es/products/hardware-accessories/,0,2,0,3,0,0,0,0,0,0,0
/es/products/hardware-accessories/200-indicator/,0,1,0,6,0,0,0,0,0,0,0
/es/products/hardware-accessories/dc02-door-coordinator/,0,4,0,11.75,0,0,0,0,0,0,0
/es/products/hardware-accessories/ds013-door-stopper/,0,1,0,6,0,0,0,0,0,0,0
/es/products/hardware-accessories/ds022-door-stopper/,0,1,0,5,0,0,0,0,0,0,0
/es/products/hardware-accessories/fb013-door-flush-bolt/,0,1,0,11,0,0,0,0,0,0,0
/es/products/hardware-accessories/fb014-door-flush-bolt/,0,1,0,1,0,0,0,0,0,0,0
/es/products/hardware-accessories/l021-latch/,0,1,0,10,0,0,0,0,0,0,0
/es/products/hardware-accessories/stainless-steel-flush-bolt/,0,2,0,5,0,0,0,0,0,0,0
/es/products/knob-locks/578-acet-light-duty-cylindrical-lock/,0,1,0,8,0,0,0,0,0,0,0
/es/products/knob-locks/5831-sset-heavy-duty-cylindrical-lock/,0,1,0,5,0,0,0,0,0,0,0
/es/products/knob-locks/587-mbet-light-duty-cylindrical-lock/,0,1,0,8,0,0,0,0,0,0,0
/es/products/knob-locks/587-pbps-light-duty-cylindrical-lock/,0,1,0,6,0,0,0,0,0,0,0
/es/products/knob-locks/5874-acet-heavy-duty-cylindrical-lock/,0,3,0,5.333333333333333,0,0,0,0,0,0,0
/es/products/knob-locks/592-pbet-tubular-lock/,0,1,0,5,0,0,0,0,0,0,0
/es/products/knob-locks/607-sset-tubular-lock/,0,1,0,2,0,0,0,0,0,0,0
/es/products/knob-locks/?type=commercial-locks,0,1,0,6,0,0,0,0,0,0,0
/es/products/knob-locks/cylindrical-knob-lock/,0,1,0,10,0,0,0,0,0,0,0
/es/products/lever-handles/lh852-bnbk-lever-handle/,0,5,0,71.2,0,0,0,0,0,0,0
/es/products/lock-cases/,0,6,0,7.333333333333333,0,0,0,0,0,0,0
/es/products/lock-cases/hy-0ss-lock-case/,0,1,0,38,0,0,0,0,0,0,0
/es/products/lock-cases/lc04-85-60mm-lock-case/,0,1,0,6,0,0,0,0,0,0,0
/es/products/lock-cases/lc07-85-45mm-lock-case/,0,1,0,9,0,0,0,0,0,0,0
/es/products/lock-cases/lc14-85-50mm-lock-case/,0,1,0,9,0,0,0,0,0,0,0
/es/products/night-latches-rim-locks/,0,3,0,4.333333333333334,0,0,0,0,0,0,0
/es/products/night-latches-rim-locks/5689-night-latch-and-rim-lock/,0,6,0,7.5,0,0,0,0,0,0,0
/es/products/panic-exit-devices/023-etan-anti-pick-panic-exit-device/,0,1,0,1,0,0,0,0,0,0,0
/es/products/panic-exit-devices/033-panic-exit-device/,0,1,0,9,0,0,0,0,0,0,0
/es/products/panic-exit-devices/300-panic-exit-device/,0,2,0,6.5,1,1,1,18,5,0,0
/es/products/panic-exit-devices/310-panic-exit-device/,0,2,0,5.5,0,0,0,0,0,0,0
/es/products/panic-exit-devices/311-panic-exit-device/,0,1,0,9,0,0,0,0,0,0,0
/es/products/panic-exit-devices/314-alarm-panic-bar-exit-device/,0,3,0,4.666666666666666,0,0,0,0,0,0,0
/es/products/panic-exit-devices/316-s-panic-exit-device/,0,3,0,8.666666666666668,0,0,0,0,0,0,0
/es/products/panic-exit-devices/?type=special-applications,0,1,0,2,0,0,0,0,0,0,0
/es/products/panic-exit-devices/x2-panic-exit-device/,0,1,0,11,0,0,0,0,0,0,0
/es/products/stainless-steel-handles/,0,2,0,5,0,0,0,0,0,0,0
/es/products/stainless-steel-handles/600-concealed-sliding-door-handle/,0,1,0,6,0,0,0,0,0,0,0
/es/products/stainless-steel-handles/9011e-stainless-steel-handle/,0,4,0,5.25,0,0,0,0,0,0,0
/es/projects/,0,1,0,17,0,0,0,0,0,0,0
/es/projects/commercial-fire-egress-hardware/,0,2,0,4,0,0,0,0,0,0,0
/es/projects/hospitality-residential-door-package/,0,1,0,5,0,0,0,0,0,0,0
/faq/,0,7,0,6.857142857142857,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=101&page=2,0,1,0,4,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=101&page=3,0,4,0,39,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=102&lang=cn,0,2,0,4.5,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=103&lang=en&page=2,0,1,0,11,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=105,0,2,0,6,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=105&lang=en&page=3,0,1,0,9,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=110&lang=cn,0,1,0,9,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=111,0,3,0,18.333333333333332,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=113,0,6,0,33.833333333333336,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=115,0,7,0,53.42857142857143,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=12&lang=es,0,1,0,7,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=121,0,2,0,32,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=123,0,21,0,32,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=123&page=2,0,1,0,1,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=125,0,13,0,10.23076923076923,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=127,0,4,0,6,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=129,0,3,0,7,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=131,0,63,0,65.88888888888889,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=131&lang=en&page=2,0,1,0,5,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=131&page=2,0,1,0,7,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=133,0,6,0,10.333333333333334,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=133&page=3,0,1,0,7,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=135,0,1,0,1,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=144&lang=cn,0,2,0,5,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=147,0,1,0,9,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=148&lang=cn,0,1,0,5,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=150&lang=cn,0,2,0,5,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=155,0,5,0,5.2,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=156&lang=cn,0,2,0,9.5,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=159,0,7,0,50.142857142857146,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=16&lang=es,0,1,0,6,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=19&lang=es,0,1,0,7,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=24&lang=es,0,1,0,8,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=29&lang=es,0,1,0,5,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=3&lang=cn&page=12,0,3,0,2.666666666666667,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=3&lang=cn&page=13,0,1,0,8,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=30&lang=cn,0,9,0,5.333333333333333,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=43&lang=es,0,1,0,10,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=44&lang=es,0,8,0,8.25,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=75,0,5,0,45.8,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=75&page=18,0,1,0,40,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=76,0,3,0,20,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=81,0,2,0,35.5,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=96&lang=cn&page=4,0,1,0,1,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=99&lang=en&page=5,0,1,0,3,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1041&lang=en,0,1,0,4,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1059,0,3,0,3,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1069,0,3,0,11.666666666666666,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1070&lang=cn,0,1,0,5,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1082,0,1,0,8,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=133&lang=cn,0,1,0,10,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=150,0,1,0,1,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1521,0,4,0,7.75,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1523&lang=cn,0,1,0,10,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1526,0,1,0,1,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1527&lang=cn,0,1,0,10,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1538&lang=cn,0,2,0,30.5,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1549&lang=cn,0,6,0,21.666666666666668,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1552&lang=cn,0,2,0,9,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1559&lang=cn,0,1,0,21,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1565,0,8,0,6.5,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1571,0,1,0,6,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1572&lang=cn,0,3,0,11.666666666666666,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1576,0,1,0,3,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1577&lang=cn,0,1,0,33,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1581,0,2,0,4,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1592&lang=cn,0,1,0,28,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1593,0,1,0,4,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1595,0,4,0,9.25,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1597,0,3,0,23.333333333333332,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1599,0,2,0,9,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1601,0,9,0,4.555555555555555,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=169,0,1,0,1,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=215,0,2,0,9,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=218,0,1,0,10,0,0,0,0,0,0,0
